CommitteeReferralComments,DeemedOn,CouncilPeriod,LegislationNumber,Subcategory,DocumentUrl,Modified,LegislationStatus,ShortTitle,Category,Id,LawNumber,CommitteeReferral,ActNumber,Deemed,IntroductionDate
,,22,B22-0193,Permanent Bill,http://lims.dccouncil.us/Download/37694/B22-0193-Introduction.pdf,2017-03-27,New,Temporary Protection Order Firearm Relinquishment Amendment Act of 2017,Bill,37694,,Committee on Judiciary and Public Safety,,,2017-03-21
,,22,B22-0192,Permanent Bill,http://lims.dccouncil.us/Download/37693/B22-0192-Introduction.pdf,2017-03-27,New,Fair Elections Act of 2017,Bill,37693,,Committee on Judiciary and Public Safety,,,2017-03-21
,,22,B22-0191,Permanent Bill,http://lims.dccouncil.us/Download/37691/B22-0191-Introduction.pdf,2017-03-27,New,Retirement Parity Amendment Act of 2017,Bill,37691,,Committee on Labor and Workforce Development,,,2017-03-21
,,22,B22-0190,Permanent Bill,http://lims.dccouncil.us/Download/37690/B22-0190-Introduction.pdf,2017-03-27,New,Property Disposition Reform Amendment Act of 2017,Bill,37690,,Committee on Housing and Neighborhood Revitalization  and Committee on Business and Economic Development,,,2017-03-21
,,22,B22-0189,Permanent Bill,http://lims.dccouncil.us/Download/37689/B22-0189-Introduction.pdf,2017-03-27,New,Drug-Related Nuisance Abatement Amendment Act of 2017,Bill,37689,,Committee on Judiciary and Public Safety,,,2017-03-21
,,22,B22-0188,Permanent Bill,http://lims.dccouncil.us/Download/37682/B22-0188-Introduction.pdf,2017-03-27,Under Council Review,Strengthening Government Transparency Amendment Act of 2017,Bill,37682,,Committee on Judiciary and Public Safety,,,2017-03-15
,,22,CER22-0056,Ceremonial Resolution,http://lims.dccouncil.us/Download/37633/CER22-0056-Introduction.pdf,2017-03-27,Approved,Jeannette Mobley Woman of Distinction Recognition Resolution of 2017,Resolution,37633,,Retained by the Council,ACR22-0056,,2017-03-06
,,22,CER22-0055,Ceremonial Resolution,http://lims.dccouncil.us/Download/37632/CER22-0055-Introduction.pdf,2017-03-27,Approved,Middle C Music Day Recognition Resolution of 2017,Resolution,37632,,Retained by the Council,ACR22-0055,,2017-03-06
,,22,CER22-0053,Ceremonial Resolution,http://lims.dccouncil.us/Download/37630/CER22-0053-Introduction.pdf,2017-03-27,Approved,Anacostia High School Girls Varsity Basketball Team Recognition Resolution of 2017,Resolution,37630,,Retained by the Council,ACR22-0053,,2017-03-06
,,22,CER22-0052,Ceremonial Resolution,http://lims.dccouncil.us/Download/37629/CER22-0052-Introduction.pdf,2017-03-27,Approved,Sexual Assault Awareness Month Recognition Resolution of 2017,Resolution,37629,,Retained by the Council,ACR22-0052,,2017-03-06
,,22,CER22-0051,Ceremonial Resolution,http://lims.dccouncil.us/Download/37628/CER22-0051-Introduction.pdf,2017-03-27,Approved,Clifford T. Keenan Recognition Resolution of 2017,Resolution,37628,,Retained by the Council,ACR22-0051,,2017-03-06
,,22,CER22-0050,Ceremonial Resolution,http://lims.dccouncil.us/Download/37627/CER22-0050-Introduction.pdf,2017-03-27,Approved,Jazz Appreciation Month and International Jazz Day Ceremonial Recognition Resolution of 2017,Resolution,37627,,Retained by the Council,ACR22-0050,,2017-03-06
,,22,CER22-0049,Ceremonial Resolution,http://lims.dccouncil.us/Download/37626/CER22-0049-Introduction.pdf,2017-03-27,Approved,"Howard Gasaway, Sr. Recognition Resolution of 2017",Resolution,37626,,Retained by the Council,ACR22-0049,,2017-03-03
,,22,CER22-0048,Ceremonial Resolution,http://lims.dccouncil.us/Download/37625/CER22-0048-Introduction.pdf,2017-03-27,Approved,Chief Judge Eric T. Washington Retirement Recognition Resolution of 2017,Resolution,37625,,Retained by the Council,ACR22-0048,,2017-03-03
,,22,CER22-0047,Ceremonial Resolution,http://lims.dccouncil.us/Download/37624/CER22-0047-Introduction.pdf,2017-03-27,Approved,Women's History Month Recognition Resolution of 2017,Resolution,37624,,Retained by the Council,ACR22-0047,,2017-03-01
,,22,CER22-0046,Ceremonial Resolution,http://lims.dccouncil.us/Download/37623/CER22-0046-Introduction.pdf,2017-03-27,Approved,Win Holladay Recognition Resolution of 2017,Resolution,37623,,Retained by the Council,ACR22-0046,,2017-03-01
,,22,CER22-0045,Ceremonial Resolution,http://lims.dccouncil.us/Download/37622/CER22-0045-Introduction.pdf,2017-03-27,Approved,Lillian and John Marable Recognition Resolution of 2017,Resolution,37622,,Retained by the Council,ACR22-0045,,2017-03-01
,,22,CER22-0044,Ceremonial Resolution,http://lims.dccouncil.us/Download/37621/CER22-0044-Introduction.pdf,2017-03-27,Approved,National Social Work Month Recognition Resolution of 2017,Resolution,37621,,Retained by the Council,ACR22-0044,,2017-03-01
,,22,CER22-0043,Ceremonial Resolution,http://lims.dccouncil.us/Download/37620/CER22-0043-Introduction.pdf,2017-03-27,Approved,Irish-American Heritage Month Recognition Resolution of 2017,Resolution,37620,,Retained by the Council,ACR22-0043,,2017-03-01
,,22,CER22-0042,Ceremonial Resolution,http://lims.dccouncil.us/Download/37619/CER22-0042-Introduction.pdf,2017-03-27,Approved,Red Cross Month Ceremonial Recognition Resolution of 2017,Resolution,37619,,Retained by the Council,ACR22-0042,,2017-03-01
,,22,CER22-0041,Ceremonial Resolution,http://lims.dccouncil.us/Download/37618/CER22-0041-Introduction.pdf,2017-03-27,Approved,Youth Art Month Recognition Resolution of 2017,Resolution,37618,,Retained by the Council,ACR22-0041,,2017-03-01
,,22,CER22-0040,Ceremonial Resolution,http://lims.dccouncil.us/Download/37617/CER22-0040-Introduction.pdf,2017-03-27,Approved,St. John's College High School Girls Varsity Basketball Team Ceremonial Recognition Resolution of 2017,Resolution,37617,,Retained by the Council,ACR22-0040,,2017-03-01
,,22,CER22-0039,Ceremonial Resolution,http://lims.dccouncil.us/Download/37616/CER22-0039-Introduction.pdf,2017-03-27,Approved,Carolyn Williams Harrison Recognition Resolution of 2017,Resolution,37616,,Retained by the Council,ACR22-0039,,2017-02-27
,,22,CER22-0038,Ceremonial Resolution,http://lims.dccouncil.us/Download/37615/CER22-0038-Introduction.pdf,2017-03-27,Approved,"Edward Hill, Jr. Recognition Resolution of 2017",Resolution,37615,,Retained by the Council,ACR22-0038,,2017-02-27
,,22,CER22-0037,Ceremonial Resolution,http://lims.dccouncil.us/Download/37614/CER22-0037-Introduction.pdf,2017-03-27,Approved,Gay and Lesbian Activists Alliance 46th Anniversary Recognition Resolution of 2017,Resolution,37614,,Retained by the Council,ACR22-0037,,2017-02-27
,,22,CER22-0036,Ceremonial Resolution,http://lims.dccouncil.us/Download/37613/CER22-0036-Introduction.pdf,2017-03-27,Approved,Mark Plotkin Recognition Resolution of 2017,Resolution,37613,,Retained by the Council,ACR22-0036,,2017-02-23
,,22,CER22-0035,Ceremonial Resolution,http://lims.dccouncil.us/Download/37612/CER22-0035-Introduction.pdf,2017-03-27,Approved,District of Columbia Read Across America Day Recognition Resolution of 2017,Resolution,37612,,Retained by the Council,ACR22-0035,,2017-02-13
,,22,CER22-0034,Ceremonial Resolution,http://lims.dccouncil.us/Download/37611/CER22-0034-Introduction.pdf,2017-03-27,Approved,San Miguel School Fiesta de Gala 5th Annual Scholarship Benefit Recognition Resolution of 2017,Resolution,37611,,Retained by the Council,ACR22-0034,,2017-02-13
,,22,PR22-0150,Proposed Resolution,http://lims.dccouncil.us/Download/37525/PR22-0150-Introduction.pdf,2017-03-27,Approved,Williams Alley Designation Emergency Declaration Resolution of 2017,Resolution,37525,,Retained by the Council,R22-0045,,2017-03-02
,,22,PR22-0130,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/37485/PR22-0130-Introduction.pdf,2017-03-27,Approved,Modifications to Contract No. CW40436 Approval and Payment Authorization Emergency Declaration Resolution of 2017,Resolution,37485,,Retained by the Council,R22-0041,,2017-02-17
,,22,IG22-0013,Inspector General,http://lims.dccouncil.us/Download/37726/IG22-0013-Introduction.pdf,2017-03-24,New,Department of Public Works: Oversight of District Fleet Vehicle Usage and Inventory Is Not Adequate,Report,37726,,,,,2017-03-24
,,22,AU22-0009,Auditor,http://lims.dccouncil.us/Download/37725/AU22-0009-Introduction.pdf,2017-03-24,New,Status Report on Home Visiting in the District of Columbia,Report,37725,,,,,2017-03-24
,2017-03-15,22,REPROG22-0021,Reprogramming,http://lims.dccouncil.us/Download/37505/REPROG22-0021-Introduction.pdf,2017-03-24,Deemed Approved,"Request to reprogram $10,451,461 of Capital Funds Budget Authority and Allotment within the Department of General Services",Reprogramming,37505,,Retained by the Council,,Approved,2017-02-28
,2017-03-12,22,CA22-0037,Contract,http://lims.dccouncil.us/Download/37516/CA22-0037-Introduction.pdf,2017-03-24,Deemed Approved,"Proposed contract with Capitol Paving of D.C., Inc.",Contract,37516,,Retained by the Council,,Approved,2017-03-01
,2017-03-12,22,CA22-0036,Contract,http://lims.dccouncil.us/Download/37515/CA22-0036-Introduction.pdf,2017-03-24,Deemed Approved,Proposed contract with Advanced Data Processing Inc.,Contract,37515,,Retained by the Council,,Approved,2017-03-01
,2017-03-11,22,CA22-0035,Contract,http://lims.dccouncil.us/Download/37510/CA22-0035-Introduction.pdf,2017-03-24,Deemed Approved,"Proposed contract modification with Reingold Link, LLC",Contract,37510,,Retained by the Council,,Approved,2017-02-28
,2017-03-11,22,CA22-0034,Contract,http://lims.dccouncil.us/Download/37504/CA22-0034-Introduction.pdf,2017-03-24,Deemed Approved,"Proposed contract modification with Broughton Construction Company, LLC",Contract,37504,,Retained by the Council,,Approved,2017-02-28
,2017-03-10,22,CA22-0033,Contract,http://lims.dccouncil.us/Download/37503/CA22-0033-Introduction.pdf,2017-03-24,Deemed Approved,"Proposed contract with Tricon of Washington DC, Inc.",Contract,37503,,Retained by the Council,,Approved,2017-02-27
,,22,RC22-0037,Other,http://lims.dccouncil.us/Download/37724/RC22-0037-Introduction.pdf,2017-03-23,New,Correspondence from the Mayor - DOES Quarterly Report on Job Training and Adult Education Programs: Fiscal Year 2017 - Quarter 1,Report,37724,,,,,2017-03-23
,2017-04-01,22,CA22-0045,Contract,,2017-03-23,New,"Proposed Human Care Agreement with Life Deeds, Inc. ",Contract,37715,,Retained by the Council,,Approved,2017-03-21
,2017-04-01,22,CA22-0052,Contract,http://lims.dccouncil.us/Download/37723/CA22-0052-Introduction.pdf,2017-03-22,New,Proposed contract with AT&T Mobility National Accounts LLC ,Contract,37723,,Retained by the Council,,Approved,2017-03-21
,2017-04-01,22,CA22-0046,Contract,http://lims.dccouncil.us/Download/37717/CA22-0046-Introduction.pdf,2017-03-22,New,Proposed contract with Thomas Bus Gulf Coast,Contract,37717,,Retained by the Council,,Approved,2017-03-21
,2017-04-01,22,CA22-0047,Contract,http://lims.dccouncil.us/Download/37718/CA22-0047-Introduction.pdf,2017-03-22,New,"Proposed contract with Medical Transportation Management, Inc. ",Contract,37718,,Retained by the Council,,Approved,2017-03-21
,2017-04-01,22,CA22-0048,Contract,http://lims.dccouncil.us/Download/37719/CA22-0048-Introduction.pdf,2017-03-22,New,"Proposed contract modifications with Business Development Associates, LLC ",Contract,37719,,Retained by the Council,,Approved,2017-03-21
,2017-04-01,22,CA22-0049,Contract,http://lims.dccouncil.us/Download/37720/CA22-0049-Introduction.pdf,2017-03-22,New,"Proposed contract modifications with Business Promotion Consultants, Inc. ",Contract,37720,,Retained by the Council,,Approved,2017-03-21
,2017-04-01,22,CA22-0050,Contract,http://lims.dccouncil.us/Download/37721/CA22-0050-Introduction.pdf,2017-03-22,New,"Proposed contract modifications with TilDora Systems, LLC ",Contract,37721,,Retained by the Council,,Approved,2017-03-21
,2017-04-01,22,CA22-0051,Contract,http://lims.dccouncil.us/Download/37722/CA22-0051-Introduction.pdf,2017-03-22,New,Proposed Change Order No. 001 with Gilbane Building Company ,Contract,37722,,Retained by the Council,,Approved,2017-03-21
,2017-03-12,22,PR22-0105,Proposed Resolution,http://lims.dccouncil.us/Download/37425/PR22-0105-Introduction.pdf,2017-03-22,Deemed Approved,"Compensation and Working Conditions Agreement between the Office of the State Superintendent of Education, Division of Student Transportation and Teamsters Local 639 Approval Resolution of 2017",Resolution,37425,,Committee on Labor and Workforce Development,,Approved,2017-02-10
,,22,B22-0131,Permanent Bill,http://lims.dccouncil.us/Download/37482/B22-0131-Introduction.pdf,2017-03-22,Under Council Review,Education Professional Development Contracting Authority Clarification Amendment Act of 2017,Bill,37482,,Committee of the Whole,,,2017-02-22
,,22,B22-0047,Permanent Bill,http://lims.dccouncil.us/Download/37204/B22-0047-Introduction.pdf,2017-03-22,Under Council Review,Government Contractor Pay-to-Play Prevention Amendment Act of 2017,Bill,37204,,Committee of the Whole,,,2017-01-10
,,22,B22-0046,Permanent Bill,http://lims.dccouncil.us/Download/37203/B22-0046-Introduction.pdf,2017-03-22,Under Council Review,Department of General Services Procurement Authority Amendment Act of 2017,Bill,37203,,Committee of the Whole,,,2017-01-10
,,22,PR22-0078,Proposed Resolution,http://lims.dccouncil.us/Download/37292/PR22-0078-Introduction.pdf,2017-03-22,Under Council Review,District of Columbia Retirement Board Michael J. Warren  Reappointment Resolution of 2017,Resolution,37292,,Committee of the Whole,,,2017-01-24
,,22,PR22-0077,Proposed Resolution,http://lims.dccouncil.us/Download/37291/PR22-0077-Introduction.pdf,2017-03-22,Under Council Review,District of Columbia Retirement Board Lyle M. Blanchard Reappointment Resolution of 2017,Resolution,37291,,Committee of the Whole,,,2017-01-24
,,22,HR22-0014,Oversight Hearing Record,,2017-03-22,Under Council Review,"PERFORMANCE OVERSIGHT HEARING: THE DEPARTMENT OF SMALL AND LOCAL BUSINESS DEVELOPMENT, THE DEPARTMENT OF INSURANCE, SECURITIES, AND BANKING, THE DEPARTMENT OF FOR-HIRE VEHICLES, FOR-HIRE VEHICLE ADVISORY COUNCIL",Oversight Hearing Record,37710,,Committee on Business and Economic Development,,,2017-02-15
,2017-06-14,22,PR22-0151,Proposed Resolution,http://lims.dccouncil.us/Download/37527/PR22-0151-Introduction.pdf,2017-03-22,Under Council Review,Director of the Department of Corrections Quincy Booth Confirmation Resolution of 2017,Resolution,37527,,Committee on Judiciary and Public Safety,,Approved,2017-03-01
,2017-04-01,22,CA22-0044,Contract,http://lims.dccouncil.us/Download/37714/CA22-0044-Introduction.pdf,2017-03-22,New,Proposed contract with Frontline Community Services,Contract,37714,,Retained by the Council,,Approved,2017-03-21
,,22,HR22-0018,Oversight Hearing Record,,2017-03-22,Under Council Review,"Performance Oversight Hearing: Deputy Mayor for Greater Economic Opportunity, Workforce Investment Council, and the Department of Employment Services",Oversight Hearing Record,37716,,Committee on Labor and Workforce Development,,,2017-03-15
,,22,HR22-0017,Oversight Hearing Record,,2017-03-22,Under Council Review,PUBLIC OVERSIGHT HEARING: Department of Motor Vehicles and Department of Parks and Recreation,Oversight Hearing Record,37713,,Committee on Transportation and the Environment,,,2017-02-10
,,22,HR22-0016,Oversight Hearing Record,,2017-03-22,Under Council Review,Public Oversight Roundtable: The District Department of Transportation's Second Proposed Vision Zero Regulations,Oversight Hearing Record,37712,,Committee on Transportation and the Environment,,,2017-03-03
,,22,HR22-0015,Oversight Hearing Record,,2017-03-22,Under Council Review,"PUBLIC OVERSIGHT HEARING: Washington Aqueduct, DC Water, Department of General Services",Oversight Hearing Record,37711,,Committee on Transportation and the Environment,,,2017-02-28
,2017-04-05,22,GBM22-0022,Grant Budget Modification,http://lims.dccouncil.us/Download/37709/GBM22-0022-Introduction.pdf,2017-03-21,New,"FY 2017 Grant Budget Modifications of March 1, 2017",Grant Budget Modification,37709,,Retained by the Council,,Approved,2017-03-21
,,22,RC22-0036,Other,http://lims.dccouncil.us/Download/37708/RC22-0036-Introduction.pdf,2017-03-21,New,"Correspondence from the Mayor - OSSE Promoting the Special Supplemental Nutrition program for Women, Infants, and Children (WIC) at Child Development Facilities",Report,37708,,,,,2017-03-21
,,22,B22-0138,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/37521/B22-0138-Introduction.pdf,2017-03-21,Enacted,Medical Marijuana Dispensary Congressional Review Emergency Amendment Act of 2017,Bill,37521,,Retained by the Council,A22-0018,,2017-03-02
,,22,B22-0156,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/37575/B22-0156-Introduction.pdf,2017-03-21,Enacted,Tampering with a Detection Device Congressional Review Emergency Amendment Act of 2017,Bill,37575,,Retained by the Council,,,2017-03-06
,,22,AU22-0008,Auditor,http://lims.dccouncil.us/Download/37688/AU22-0008-Introduction.pdf,2017-03-20,New,Implementation of Recommendations for: The Durability of Police Reform: The Metropolitan Police Department and Use of Force 2008-2015 (Issued January 2016),Report,37688,,,,,2017-03-20
,,22,CER22-0054,Ceremonial Resolution,http://lims.dccouncil.us/Download/37631/CER22-0054-Introduction.pdf,2017-03-20,Approved,Remember the St. Louis Day Ceremonial Recognition Resolution of 2017,Resolution,37631,,Retained by the Council,ACR22-0054,,2017-03-06
,,22,PR22-0173,Proposed Resolution,http://lims.dccouncil.us/Download/37651/PR22-0173-Introduction.pdf,2017-03-20,Under Council Review,Food Policy Council Philip Sambol Confirmation Resolution of 2017,Resolution,37651,,Committee on Transportation and the Environment,,,2017-03-08
,2017-05-15,22,PR22-0171,Proposed Resolution,http://lims.dccouncil.us/Download/37649/PR22-0171-Introduction.pdf,2017-03-20,Under Council Review,Board of Podiatry Barbara Clark Confirmation Resolution of 2017,Resolution,37649,,Committee on Health,,Approved,2017-03-08
,2017-06-28,22,PR22-0170,Proposed Resolution,http://lims.dccouncil.us/Download/37648/PR22-0170-Introduction.pdf,2017-03-20,Under Council Review,Homeland Security Commission David Heyman Confirmation Resolution of 2017,Resolution,37648,,Committee on Judiciary and Public Safety,,Disapproved,2017-03-07
,2017-05-15,22,PR22-0169,Proposed Resolution,http://lims.dccouncil.us/Download/37646/PR22-0169-Introduction.pdf,2017-03-20,Under Council Review,Statewide Health Coordinating Council Stephen Neuman Confirmation Resolution of 2017,Resolution,37646,,Committee on Health,,Approved,2017-03-07
,2017-05-15,22,PR22-0168,Proposed Resolution,http://lims.dccouncil.us/Download/37645/PR22-0168-Introduction.pdf,2017-03-20,Under Council Review,Board of Respiratory Care Betty Akpan Confirmation Resolution of 2017,Resolution,37645,,Committee on Health,,Approved,2017-03-07
,2017-04-27,22,PR22-0167,Proposed Resolution,http://lims.dccouncil.us/Download/37642/PR22-0167-Introduction.pdf,2017-03-20,Under Council Review,Medical Marijuana Labeling and Candy Rulemaking Approval Resolution of 2017,Resolution,37642,,Committee on Health,,Approved,2017-03-06
,,22,PR22-0166,Proposed Resolution,http://lims.dccouncil.us/Download/37641/PR22-0166-Introduction.pdf,2017-03-20,Under Council Review,Local Rent Supplement Program Contract No. 2016-LRSP-01L Approval Resolution of 2017,Resolution,37641,,Retained by the Council,,,2017-03-03
